name,link,author,rating,language,genre,chapters,words,reviews,favs,follows,updated,published,characters,complete
Turbulence,https://www.fanfiction.net/s/3427019/1/Turbulence,Kryspix,T,English,Adventure/Humor,46,94675,625,376,257,10/5/2009,3/5/2007,"Katara, Zuko",True
Fighting Free,https://www.fanfiction.net/s/10230298/1/Fighting-Free,Melting Angels,M,English,Friendship/Adventure,39,63819,387,375,426,5/27/2018,3/30/2014,"Aang, Zuko, Iroh, Katara",False
"Endlessly, She Said",https://www.fanfiction.net/s/7112770/1/Endlessly-She-Said,AleinaReigning,T,English,Romance/Hurt/Comfort,33,137846,680,375,298,3/30/2014,6/24/2011,"Zuko, Katara",True
Unbreakable,https://www.fanfiction.net/s/4914626/1/Unbreakable,The Quiller,T,English,Tragedy/Friendship,1,4863,112,374,121,6/9/2009,3/10/2009,"Aang, Zuko",True
Coming of Age,https://www.fanfiction.net/s/4586011/1/Coming-of-Age,DJNS,M,English,Romance/Humor,1,5004,80,373,60,,10/9/2008,"Katara, Aang",True
Paper Clouds,https://www.fanfiction.net/s/8900106/1/Paper-Clouds,miavortice,T,English,Romance/Supernatural,15,170611,231,376,350,6/1/2017,1/12/2013,"Zuko, Katara",True
Two Worlds Collide,https://www.fanfiction.net/s/5219511/1/Two-Worlds-Collide,mangx3,T,English,Romance/Adventure,30,241450,277,373,304,9/24/2015,7/15/2009,"Zuko, Katara",True
The Walls of Ba Sing Se,https://www.fanfiction.net/s/6377697/1/The-Walls-of-Ba-Sing-Se,jin fenghuang,M,English,Romance/Adventure,19,115754,166,373,282,12/26/2013,10/6/2010,"Zuko, Jet",True
Saving Face,https://www.fanfiction.net/s/6892379/1/Saving-Face,meltinglacier,T,English,Horror/Romance,1,7386,109,374,46,,4/9/2011,"Zuko, Mai, Koh",True
Fragile,https://www.fanfiction.net/s/7204477/1/Fragile,galimeril,T,English,Angst/Hurt/Comfort,6,17197,121,371,165,12/25/2011,7/21/2011,"Sokka, Zuko, Katara, Toph",True
Teaching Patience,https://www.fanfiction.net/s/4711234/1/Teaching-Patience,kyokichii,M,English,Hurt/Comfort/Drama,13,90363,349,370,451,9/25/2010,12/12/2008,"Zuko, Sokka",False
Keep Your Enemies Closer,https://www.fanfiction.net/s/12206266/1/Keep-Your-Enemies-Closer,Boogum,M,English,Humor/Romance,6,22149,127,370,178,12/29/2016,10/26/2016,"[Katara, Zuko]",True
Forgotten Ones: Letter to Song,https://www.fanfiction.net/s/4501113/1/Forgotten-Ones-Letter-to-Song,Evilnor,K+,English,,1,3085,47,368,61,,8/26/2008,"Song, Zuko",True
Indulgences,https://www.fanfiction.net/s/11208001/1/Indulgences,delictabledahlia,M,English,Drama/Family,10,21609,274,368,486,1/17/2017,4/25/2015,"Zuko, Mai, Ty Lee, Azula",False
A Day in the Life,https://www.fanfiction.net/s/6371577/1/A-Day-in-the-Life,MadLori,T,English,Romance,6,23703,141,368,82,10/20/2010,10/3/2010,"Aang, Katara",True
Kiss THIS!,https://www.fanfiction.net/s/2804619/1/Kiss-THIS,Jakia,T,English,Romance/Humor,79,49861,2048,365,191,6/23/2006,2/16/2006,"Zuko, Katara",False
Relative Misery,https://www.fanfiction.net/s/6052959/1/Relative-Misery,peroxidepest17,K+,English,,1,1667,51,366,32,,6/14/2010,"Zuko, Toph",True
Four Seasons,https://www.fanfiction.net/s/4484064/1/Four-Seasons,Kagome1235,M,English,Romance/Angst,102,204681,521,365,147,8/27/2009,8/19/2008,"Katara, Zuko",True
Liars Start Fires,https://www.fanfiction.net/s/11742190/1/Liars-Start-Fires,daughter of pythos,T,English,Romance,37,17325,284,365,416,5/14,1/19/2016,"[Azula, Ty Lee]",False
Revenant,https://www.fanfiction.net/s/11589394/1/Revenant,ManofManyHats,K+,English,Friendship/Spiritual,10,30881,102,364,142,12/23/2015,10/31/2015,"Aang, Zuko, Iroh",True
9 to 5,https://www.fanfiction.net/s/5273973/1/9-to-5,delectate,T,English,Humor/Romance,1,973,78,363,43,,8/3/2009,"Katara, Zuko",True
A viper-lizard's tales,https://www.fanfiction.net/s/11827143/1/A-viper-lizard-s-tales,Yumi Take,T,English,Angst/Family,101,89651,535,363,454,6/25,3/6/2016,"Zuko, Iroh, Jet, Azula",False
Unmatchmakers,https://www.fanfiction.net/s/2741380/1/Unmatchmakers,Jakia,T,English,Humor/Parody,7,20601,342,361,86,2/11/2006,1/7/2006,"Katara, Zuko",True
When We Were Young,https://www.fanfiction.net/s/7236555/1/When-We-Were-Young,Em Dixon,M,English,Romance/Drama,5,10775,75,362,67,8/1/2011,7/30/2011,"Zuko, Katara",True
Don't Ever Play With Fire,https://www.fanfiction.net/s/7031870/1/Don-t-Ever-Play-With-Fire,Melethril,T,English,Adventure/Friendship,3,10078,143,362,358,9/15/2011,5/29/2011,"Zuko, Hakoda",False
Sacrifices,https://www.fanfiction.net/s/6972691/1/Sacrifices,Kimberly T,T,English,Adventure/Family,15,209016,374,362,436,8/7/2015,5/7/2011,"Zuko, Katara, Sokka, Aang",False
The Scar,https://www.fanfiction.net/s/4023321/1/The-Scar,Arcole,K+,English,Friendship/Hurt/Comfort,1,2193,32,361,53,,1/20/2008,"Zuko, Toph",True
When All Your Dreams Come True,https://www.fanfiction.net/s/3036180/1/When-All-Your-Dreams-Come-True,Atiaran,M,English,Angst,1,10273,107,361,64,,7/9/2006,Zuko,True
Save the Princess,https://www.fanfiction.net/s/11881006/1/Save-the-Princess,dove-white-stripes,T,English,Romance/Adventure,5,14243,142,361,505,10/28/2017,4/5/2016,"[Ty Lee, Azula]",False
Life Bound,https://www.fanfiction.net/s/6361073/1/Life-Bound,clockworkchaos,T,English,Friendship/Tragedy,6,32599,82,360,76,11/18/2010,9/29/2010,Toph,True
Avatar the Last Airbender Book 4 Air,https://www.fanfiction.net/s/4737455/1/Avatar-the-Last-Airbender-Book-4-Air,avatargurumaster,T,English,Romance/Adventure,58,158486,1051,360,201,7/25/2011,12/23/2008,"Aang, Katara",False
Away from the Sun,https://www.fanfiction.net/s/10007772/1/Away-from-the-Sun,Alice Raven B,M,English,Romance/Fantasy,36,144116,284,360,368,8/5/2015,1/9/2014,"[Azula, Katara, Yue, Suki]",False
Revelations of the Daughter of the Sun,https://www.fanfiction.net/s/6473624/1/Revelations-of-the-Daughter-of-the-Sun,LadyCeruleanBlue,M,English,Romance/Adventure,40,180246,158,360,217,1/13/2014,11/13/2010,"[Zuko, OC]",True
Dishes and Kisses,https://www.fanfiction.net/s/5147053/1/Dishes-and-Kisses,rosdrise,M,English,Romance,1,2186,55,359,35,,6/18/2009,"Katara, Zuko",True
Confetti,https://www.fanfiction.net/s/11755196/1/Confetti,SuperlustrousRainstorm,K,English,Romance/Friendship,64,11218,370,359,431,7/2,1/26/2016,"[Azula, Ty Lee]",False
Wake Up,https://www.fanfiction.net/s/7901322/1/Wake-Up,Like A Dove,M,English,Romance/Drama,10,22290,607,359,588,4/4/2013,3/6/2012,Katara,False
Magma,https://www.fanfiction.net/s/3949709/1/Magma,MikariStar,T,English,Romance/Humor,15,66111,422,358,171,7/12/2010,12/16/2007,"Toph, Zuko",True
Pretending,https://www.fanfiction.net/s/11161685/1/Pretending,Goldenbrook15,T,English,Adventure,5,14017,118,358,424,3/4/2017,4/4/2015,Zuko,False
Flying with the Sun,https://www.fanfiction.net/s/6519556/1/Flying-with-the-Sun,Ada1405,M,English,Romance/Friendship,40,114767,314,359,136,2/6/2011,11/30/2010,Zuko,True
The Break in the Wall,https://www.fanfiction.net/s/6205462/1/The-Break-in-the-Wall,Min Daae,K+,English,Angst,1,1195,32,357,60,,8/3/2010,"Toph, Zuko",True
Symbolism,https://www.fanfiction.net/s/4257954/1/Symbolism,Party in the Afterlife,T,English,Romance,18,27077,384,360,160,9/29/2008,5/15/2008,"Toph, Zuko",True
Object Lesson,https://www.fanfiction.net/s/3573698/1/Object-Lesson,Second Harrier,T,English,,10,67185,138,356,291,2/6/2009,6/3/2007,"Aang, Azula",False
Giving Back,https://www.fanfiction.net/s/5016371/1/Giving-Back,AvocadoLove,K+,English,Hurt/Comfort/Romance,1,1885,52,355,43,,4/24/2009,"Sokka, Zuko",True
Gradual Changes,https://www.fanfiction.net/s/3877674/1/Gradual-Changes,Kasamari,T,English,Romance/Friendship,53,126418,1195,355,142,5/20/2008,11/6/2007,"Aang, Toph",True
"Blood, Silk, and Steel",https://www.fanfiction.net/s/3545748/1/Blood-Silk-and-Steel,Lost In A Dark Wood,T,English,Drama/Tragedy,36,185177,631,354,364,7/12/2013,5/18/2007,"Sokka, Azula, Iroh, Zuko",False
Burn Therapy,https://www.fanfiction.net/s/6339002/1/Burn-Therapy,Cadence,K,English,Friendship/Humor,1,2939,39,352,55,,9/20/2010,"Aang, Zuko",True
Monthlies: Version 876,https://www.fanfiction.net/s/6466869/1/Monthlies-Version-876,SCWLC,K+,English,Humor/Romance,1,1473,36,352,53,,11/10/2010,"Zuko, Katara",True
Fuseki,https://www.fanfiction.net/s/3176110/1/Fuseki,katachresis,M,English,Drama/Romance,12,21457,305,349,408,7/14/2010,9/29/2006,"Azula, Katara",False
To Blame the Eclipse,https://www.fanfiction.net/s/3385031/1/To-Blame-the-Eclipse,Vessa Blackheart,M,English,Romance,2,5939,116,347,110,9/12/2010,2/9/2007,"Zuko, Katara",True
An Affair to Remember,https://www.fanfiction.net/s/8678598/1/An-Affair-to-Remember,sablefalls,M,English,Romance/Angst,20,84185,285,348,384,6/16/2014,11/6/2012,"Aang, Azula",False
Hell's Rain,https://www.fanfiction.net/s/8705072/1/Hell-s-Rain,Kaline Reine,M,English,Romance/Angst,35,107925,258,347,322,9/16/2014,11/15/2012,"[Zuko, Katara]",True
Things Unsaid,https://www.fanfiction.net/s/10639380/1/Things-Unsaid,OurBeatingHeartsBleed,M,English,Romance/Adventure,13,52268,103,347,141,11/4/2014,8/22/2014,"[Katara, Zuko]",True
An Alternate Path,https://www.fanfiction.net/s/10719511/1/An-Alternate-Path,Isil'zha BLZ,T,English,Drama/Friendship,12,42077,72,346,342,12/24/2015,9/27/2014,"Aang, Zuko, Iroh, unknown 9",False
The Color of Truth is Red,https://www.fanfiction.net/s/7379790/1/The-Color-of-Truth-is-Red,Mrs Pettyfer,T,English,Romance/Humor,1,1492,78,345,51,,9/13/2011,"Katara, Zuko",True
Thicker Than Blood,https://www.fanfiction.net/s/6093875/1/Thicker-Than-Blood,akaiiko,T,English,Drama/Romance,1,11424,64,345,55,,6/28/2010,"Katara, Zuko",True
Favorite Colors,https://www.fanfiction.net/s/6385168/1/Favorite-Colors,alwaysZutarian,M,English,Romance,1,8652,56,345,44,,10/9/2010,"[Zuko, Katara]",True
The Last Fire Lord,https://www.fanfiction.net/s/4361731/1/The-Last-Fire-Lord,Urizen,M,English,Adventure/Drama,42,101139,290,343,237,3/29/2014,6/30/2008,"Zuko, Katara",True
In Transit,https://www.fanfiction.net/s/6430943/1/In-Transit,AzarDarkstar,K+,English,Drama/Family,1,1960,27,343,67,,10/27/2010,"Iroh, Zuko",True
Unpeeled Fruit,https://www.fanfiction.net/s/3970373/1/Unpeeled-Fruit,hello camel,T,English,Humor/Friendship,1,7478,85,342,27,,12/26/2007,"Zuko, Sokka",True
